"Date (MMM DD, YYYY)",Transaction Type,Stock / ETF Symbol,Quantity of Units,Amount per unit,Total Amount,Fees,Investment Account,Split Ratio (new shares per old share),Note
"Mar 27, 2020",Buy,ES-Fixed_Income,68.9124114,12.6813,873.9,0,SET,,
"Apr 24, 2020",Dividend,PTT:BKK,,,4059,0,SET,,
"Apr 28, 2020",Buy,ES-SET50,20.2463214,28.7469,582.02,0,SET,,
"Apr 28, 2020",Buy,ES-Tresury,98.1955786,11.8661,1165.2,0,SET,,
"Apr 28, 2020",Buy,ES-JUMBO25,10.7550682,27.0578,291.01,0,SET,,
"Apr 28, 2020",Buy,ES-Fixed_Income,69.2231024,12.6244,873.9,0,SET,,
"Apr 28, 2020",Dividend,TCAP:BKK,,,2916,0,SET,,
"May 7, 2020",Buy,$CASH,0.22,1,0.22,0,E*TRADE,,
"May 7, 2020",Buy,$CASH,21682.09,1,21682.09,0,E*TRADE,,
"May 7, 2020",Dividend,$CASH,0.22,1,0.22,0,E*TRADE,,
"May 7, 2020",Sell,DAL,977,22.1919,21682.09,0.6,E*TRADE,,
"May 11, 2020",Buy,BRK.B,15,174.7475,2621.21,0,E*TRADE,,
"May 11, 2020",Sell,$CASH,2621.21,1,2621.21,0,E*TRADE,,
"May 14, 2020",Buy,$CASH,1120.08,1,1120.08,0,E*TRADE,,
"May 14, 2020",Dividend,AAPL,,,1120.08,,E*TRADE,,
"May 19, 2020",Buy,AXP,113,88.1899,9965.46,0,E*TRADE,,
"May 19, 2020",Buy,KO,223,44.6961,9967.23,0,E*TRADE,,
"May 19, 2020",Sell,$CASH,9965.46,1,9965.46,0,E*TRADE,,
"May 19, 2020",Sell,$CASH,9967.23,1,9967.23,0,E*TRADE,,
"May 27, 2020",Buy,ES-SET50,19.33634,30.0997,582.02,0,SET,,
"May 27, 2020",Buy,ES-Tresury,98.1673368,11.8695,1165.2,0,SET,,
"May 27, 2020",Buy,ES-JUMBO25,10.2879644,28.2864,291.01,0,SET,,
"May 27, 2020",Buy,ES-Fixed_Income,69.3393248,12.6032,873.9,0,SET,,
"Jun 15, 2020",Buy,$CASH,101188.26,1,101188.26,0,E*TRADE,,
"Jun 15, 2020",Sell,AAPL,300,337.2866,101188.26,2.28,E*TRADE,,
"Jun 16, 2020",Buy,$CASH,105383.55,1,105383.55,0,E*TRADE,,
"Jun 16, 2020",Sell,AAPL,300,351.2706,105383.55,2.37,E*TRADE,,
"Jun 24, 2020",Buy,$CASH,109172.46,1,109172.46,0,E*TRADE,,
"Jun 24, 2020",Sell,AAPL,300,363.9,109172.46,2.46,E*TRADE,,
"Jun 26, 2020",Buy,ES-SET50,19.6842226,29.5677,582.02,0,SET,,
"Jun 26, 2020",Buy,ES-Tresury,98.148197,11.8718,1165.2,0,SET,,
"Jun 26, 2020",Buy,ES-JUMBO25,10.3407388,28.142,291.01,0,SET,,
"Jun 26, 2020",Buy,ES-Fixed_Income,69.2265716,12.6238,873.9,0,SET,,
"Jul 1, 2020",Buy,$CASH,77.69,1,77.69,0,E*TRADE,,
"Jul 1, 2020",Dividend,KO,,,77.69,,E*TRADE,,
"Jul 7, 2020",Buy,BLV,1000,112.3565,112356.5,0,E*TRADE,,
"Jul 7, 2020",Buy,BND,1000,88.315,88315,0,E*TRADE,,
"Jul 7, 2020",Sell,$CASH,112356.5,1,112356.5,0,E*TRADE,,
"Jul 7, 2020",Sell,$CASH,88315,1,88315,0,E*TRADE,,
"Jul 29, 2020",Buy,ES-SET50,19.848962,29.3223,582.02,0,SET,,
"Jul 29, 2020",Buy,ES-Tresury,98.1340984,11.8735,1165.2,0,SET,,
"Jul 29, 2020",Buy,ES-JUMBO25,10.4881322,27.7465,291.01,0,SET,,
"Jul 29, 2020",Buy,ES-Fixed_Income,68.993238,12.6665,873.9,0,SET,,
"Aug 6, 2020",Buy,$CASH,2.23,1,2.23,0,E*TRADE,,
"Aug 6, 2020",Buy,$CASH,223.75,1,223.75,0,E*TRADE,,
"Aug 6, 2020",Buy,$CASH,134.93,1,134.93,0,E*TRADE,,
"Aug 6, 2020",Dividend,BLV,,,223.75,,E*TRADE,,
"Aug 6, 2020",Dividend,BND,,,134.93,,E*TRADE,,
"Aug 6, 2020",Dividend,$CASH,2.23,1,2.23,0,E*TRADE,,
"Aug 10, 2020",Buy,$CASH,41.3,1,41.3,0,E*TRADE,,
"Aug 10, 2020",Dividend,AXP,,,41.3,,E*TRADE,,
"Aug 14, 2020",Buy,$CASH,492.78,1,492.78,0,E*TRADE,,
"Aug 14, 2020",Dividend,AAPL,,,492.78,,E*TRADE,,
"Aug 27, 2020",Buy,ES-SET50,20.0721834,28.9962,582.02,0,SET,,
"Aug 27, 2020",Buy,ES-Tresury,98.1179852,11.8755,1165.2,0,SET,,
"Aug 27, 2020",Buy,ES-JUMBO25,10.5547318,27.5714,291.01,0,SET,,
"Aug 27, 2020",Buy,ES-Fixed_Income,68.9829594,12.6683,873.9,0,SET,,
"Aug 27, 2020",Dividend,TCAP:BKK,,,1944,0,SET,,
"Aug 31, 2020",Split,AAPL,,,,,E*TRADE,4,
"Sep 3, 2020",Buy,$CASH,152856.12,1,152856.12,0,E*TRADE,,
"Sep 3, 2020",Sell,AAPL,1200,127.3801,152856.12,0,E*TRADE,,
"Sep 4, 2020",Buy,$CASH,229,1,229,0,E*TRADE,,
"Sep 4, 2020",Buy,$CASH,130.11,1,130.11,0,E*TRADE,,
"Sep 4, 2020",Dividend,BLV,,,229,,E*TRADE,,
"Sep 4, 2020",Dividend,BND,,,130.11,,E*TRADE,,
"Sep 9, 2020",Dividend,ZEN:BKK,,,4734,,SET,,
"Sep 9, 2020",Dividend,ZEN:BKK,,,4230,0,SET,,
"Sep 15, 2020",Buy,QSR,1000,57.4853,57485.3,0,E*TRADE,,
"Sep 15, 2020",Sell,$CASH,57485.3,1,57485.3,0,E*TRADE,,
"Sep 22, 2020",Buy,$CASH,133308.12,1,133308.12,0,E*TRADE,,
"Sep 22, 2020",Sell,AAPL,1200,111.0901,133308.12,0,E*TRADE,,
"Sep 28, 2020",Buy,ES-SET50,21.445506,27.1394,582.02,0,SET,,
"Sep 28, 2020",Buy,ES-Tresury,98.106918,11.8768,1165.2,0,SET,,
"Sep 28, 2020",Buy,ES-JUMBO25,11.2605194,25.8433,291.01,0,SET,,
"Sep 28, 2020",Buy,ES-Fixed_Income,68.8775204,12.6877,873.9,0,SET,,
"Oct 1, 2020",Buy,$CASH,77.72,1,77.72,0,E*TRADE,,
"Oct 1, 2020",Dividend,KO,,,77.72,,E*TRADE,,
"Oct 2, 2020",Buy,$CASH,390,1,390,0,E*TRADE,,
"Oct 2, 2020",Dividend,QSR,,,390,,E*TRADE,,
"Oct 6, 2020",Buy,$CASH,228.8,1,228.8,0,E*TRADE,,
"Oct 6, 2020",Buy,$CASH,127.75,1,127.75,0,E*TRADE,,
"Oct 6, 2020",Dividend,BLV,,,228.8,,E*TRADE,,
"Oct 6, 2020",Dividend,BND,,,127.75,,E*TRADE,,
"Oct 16, 2020",Dividend,PTT:BKK,,,664.2,0,SET,,
"Oct 28, 2020",Buy,ES-SET50,22.7348228,25.6003,582.02,0,SET,,
"Oct 28, 2020",Buy,ES-Tresury,98.094829,11.8783,1165.2,0,SET,,
"Oct 28, 2020",Buy,ES-JUMBO25,11.9478084,24.3567,291.01,0,SET,,
"Oct 28, 2020",Buy,ES-Fixed_Income,68.7424186,12.7127,873.9,0,SET,,
"Nov 5, 2020",Buy,$CASH,223.56,1,223.56,0,E*TRADE,,
"Nov 5, 2020",Buy,$CASH,128.32,1,128.32,0,E*TRADE,,
"Nov 5, 2020",Dividend,BLV,,,223.56,,E*TRADE,,
"Nov 5, 2020",Dividend,BND,,,128.32,,E*TRADE,,
"Nov 10, 2020",Buy,$CASH,41.3,1,41.3,0,E*TRADE,,
"Nov 10, 2020",Dividend,AXP,,,41.3,,E*TRADE,,
"Nov 11, 2020",Buy,$CASH,74.58,1,74.58,0,E*TRADE,,
"Nov 11, 2020",Dividend,AAPL,,,74.58,,E*TRADE,,
"Nov 26, 2020",Buy,ES-SET50,19.9053408,31.5519,628.05,0,SET,,
"Nov 26, 2020",Buy,ES-Tresury,105.8383162,11.88,1257.36,0,SET,,
"Nov 26, 2020",Buy,ES-JUMBO25,10.465535,30.0057,314.03,0,SET,,
"Nov 26, 2020",Buy,ES-Fixed_Income,74.00064,12.7434,943.02,0,SET,,
"Dec 4, 2020",Buy,$CASH,215.15,1,215.15,0,E*TRADE,,
"Dec 4, 2020",Buy,$CASH,121.75,1,121.75,0,E*TRADE,,
"Dec 4, 2020",Dividend,BLV,,,215.15,,E*TRADE,,
"Dec 4, 2020",Dividend,BND,,,121.75,,E*TRADE,,
"Dec 8, 2020",Dividend,ZEN:BKK,,,5917.5,,SET,,
"Dec 8, 2020",Dividend,ZEN:BKK,,,5287.5,0,SET,,
"Dec 15, 2020",Buy,SCBRMS50,3000.7,16.6628,50000,0,SET,,
"Dec 20, 2020",Buy,SCBRMS50,6286.03,15.9083,100000,0,SET,,
"Dec 21, 2020",Buy,SCBRMS50,3192.13,15.6635,50000,0,SET,,
"Dec 28, 2020",Buy,$CASH,2.84,1,2.84,0,E*TRADE,,
"Dec 28, 2020",Buy,ES-SET50,19.8689718,30.4512,605.03,0,SET,,
"Dec 28, 2020",Buy,ES-Tresury,101.9490838,11.8812,1211.28,0,SET,,
"Dec 28, 2020",Buy,ES-JUMBO25,10.5204926,28.7551,302.52,0,SET,,
"Dec 28, 2020",Buy,ES-Fixed_Income,70.9974616,12.7957,908.46,0,SET,,
"Dec 28, 2020",Dividend,$CASH,2.84,1,2.84,0,E*TRADE,,
"Dec 29, 2020",Buy,KO,1.44,53.8611,77.72,0,E*TRADE,,
"Dec 29, 2020",Buy,$CASH,2432.5,1,2432.5,0,E*TRADE,,
"Dec 29, 2020",Buy,$CASH,371.02,1,371.02,0,E*TRADE,,
"Dec 29, 2020",Buy,$CASH,223.32,1,223.32,0,E*TRADE,,
"Dec 29, 2020",Buy,$CASH,106.4,1,106.4,0,E*TRADE,,
"Dec 29, 2020",Buy,$CASH,31.62,1,31.62,0,E*TRADE,,
"Dec 29, 2020",Buy,$CASH,125.1,1,125.1,0,E*TRADE,,
"Dec 29, 2020",Buy,SCBRMS50,3082.77,16.2192,50000,0,SET,,
"Dec 29, 2020",Dividend,BLV,,,2432.5,,E*TRADE,,
"Dec 29, 2020",Dividend,BLV,,,371.02,,E*TRADE,,
"Dec 29, 2020",Dividend,BLV,,,223.32,,E*TRADE,,
"Dec 29, 2020",Dividend,BND,,,106.4,,E*TRADE,,
"Dec 29, 2020",Dividend,BND,,,31.62,,E*TRADE,,
"Dec 29, 2020",Dividend,BND,,,125.1,,E*TRADE,,
"Dec 29, 2020",Dividend,KO,1.44,53.8611,77.72,0,E*TRADE,,
"Jan 7, 2021",Buy,QSR,6.53,59.6923,390.03,0,E*TRADE,,
"Jan 7, 2021",Dividend,QSR,6.53,59.6923,390,0,E*TRADE,,
"Jan 27, 2021",Buy,ES-SET50,19.409329,31.1724,605.04,0,SET,,
"Jan 27, 2021",Buy,ES-Tresury,101.9438716,11.8818,1211.28,0,SET,,
"Jan 27, 2021",Buy,ES-JUMBO25,10.3016874,29.3658,302.52,0,SET,,
"Jan 27, 2021",Buy,ES-Fixed_Income,70.9095444,12.8115,908.46,0,SET,,
"Feb 9, 2021",Buy,$CASH,220.35,1,220.35,0,E*TRADE,,
"Feb 9, 2021",Buy,$CASH,118.32,1,118.32,0,E*TRADE,,
"Feb 9, 2021",Dividend,BLV,,,220.35,,E*TRADE,,
"Feb 9, 2021",Dividend,BND,,,118.32,,E*TRADE,,
"Feb 11, 2021",Buy,$CASH,74.58,1,74.58,0,E*TRADE,,
"Feb 11, 2021",Dividend,AAPL,,,74.58,,E*TRADE,,
"Feb 16, 2021",Buy,AXP,0.32,128.411,41.35,0,E*TRADE,,
"Feb 16, 2021",Dividend,AXP,0.32,128.411,41.3,0,E*TRADE,,
"Feb 23, 2021",Buy,ES-SET50,19.4514118,31.1049,605.03,0,SET,,
"Feb 23, 2021",Buy,ES-Tresury,101.9438904,11.8818,1211.28,0,SET,,
"Feb 23, 2021",Buy,ES-JUMBO25,10.1592774,29.7775,302.52,0,SET,,
"Feb 23, 2021",Buy,ES-Fixed_Income,71.0051576,12.7943,908.46,0,SET,,
"Feb 25, 2021",Buy,SCBSFF,24.07,20.7759,500,0,SET,,
"Mar 4, 2021",Buy,$CASH,200.25,1,200.25,0,E*TRADE,,
"Mar 4, 2021",Buy,$CASH,109.44,1,109.44,0,E*TRADE,,
"Mar 4, 2021",Dividend,BLV,,,200.25,,E*TRADE,,
"Mar 4, 2021",Dividend,BND,,,109.44,,E*TRADE,,
"Mar 12, 2021",Buy,$CASH,14.62,1,14.62,0,E*TRADE,,
"Mar 12, 2021",Buy,$CASH,81.47,1,81.47,0,E*TRADE,,
"Mar 12, 2021",Buy,$CASH,3.54,1,3.54,0,E*TRADE,,
"Mar 12, 2021",Buy,$CASH,10.12,1,10.12,0,E*TRADE,,
"Mar 12, 2021",Dividend,BLV,,,14.62,,E*TRADE,,
"Mar 12, 2021",Dividend,BLV,,,81.47,,E*TRADE,,
"Mar 12, 2021",Dividend,BND,,,3.54,,E*TRADE,,
"Mar 12, 2021",Dividend,BND,,,10.12,,E*TRADE,,
"Mar 29, 2021",Buy,ES-SET50,18.6558604,32.4314,605.04,0,SET,,
"Mar 29, 2021",Buy,ES-Tresury,101.9407792,11.8822,1211.28,0,SET,,
"Mar 29, 2021",Buy,ES-JUMBO25,9.572294,31.6034,302.52,0,SET,,
"Mar 29, 2021",Buy,ES-Fixed_Income,70.8566086,12.8211,908.46,0,SET,,
"Apr 1, 2021",Buy,KO,1.52,52.5856,80.14,0,E*TRADE,,
"Apr 1, 2021",Dividend,KO,1.52,52.5856,80.13,0,E*TRADE,,
"Apr 7, 2021",Buy,QSR,6.02,66.5151,400.09,0,E*TRADE,,
"Apr 7, 2021",Buy,$CASH,301.2,1,301.2,0,E*TRADE,,
"Apr 7, 2021",Buy,$CASH,217.91,1,217.91,0,E*TRADE,,
"Apr 7, 2021",Buy,$CASH,50,1,50,0,E*TRADE,,
"Apr 7, 2021",Buy,$CASH,2.89,1,2.89,0,E*TRADE,,
"Apr 7, 2021",Buy,$CASH,118.19,1,118.19,0,E*TRADE,,
"Apr 7, 2021",Dividend,BLV,,,301.2,,E*TRADE,,
"Apr 7, 2021",Dividend,BLV,,,217.91,,E*TRADE,,
"Apr 7, 2021",Dividend,BND,,,50,,E*TRADE,,
"Apr 7, 2021",Dividend,BND,,,2.89,,E*TRADE,,
"Apr 7, 2021",Dividend,BND,,,118.19,,E*TRADE,,
"Apr 7, 2021",Dividend,QSR,6.02,66.5151,400.09,0,E*TRADE,,
"Apr 28, 2021",Buy,ES-SET50,18.8513696,32.095,605.03,0,SET,,
"Apr 28, 2021",Buy,ES-Tresury,101.9397526,11.8823,1211.28,0,SET,,
"Apr 28, 2021",Buy,ES-JUMBO25,9.7997918,30.8698,302.52,0,SET,,
"Apr 28, 2021",Buy,ES-Fixed_Income,70.726004,12.8448,908.46,0,SET,,
"Apr 30, 2021",Dividend,PTT:BKK,,,3025.8,0,SET,,
"May 6, 2021",Buy,$CASH,207.53,1,207.53,0,E*TRADE,,
"May 6, 2021",Buy,$CASH,110.98,1,110.98,0,E*TRADE,,
"May 6, 2021",Dividend,BLV,,,207.53,,E*TRADE,,
"May 6, 2021",Dividend,BND,,,110.98,,E*TRADE,,
"May 10, 2021",Buy,$CASH,92.34,1,92.34,0,E*TRADE,,
"May 10, 2021",Buy,$CASH,17991.78,1,17991.78,0,E*TRADE,,
"May 10, 2021",Dividend,AXP,0.26,160.4175,41.42,0,E*TRADE,,
"May 10, 2021",Sell,AXP,0.58,159.2,92.34,0,E*TRADE,,
"May 10, 2021",Sell,AXP,113,159.2183,17991.78,0.11,E*TRADE,,
"May 13, 2021",Buy,$CASH,80.04,1,80.04,0,E*TRADE,,
"May 13, 2021",Dividend,AAPL,,,80.04,,E*TRADE,,
"May 19, 2021",Dividend,TCAP:BKK,,,2916,0,SET,,
"May 25, 2021",Buy,$CASH,12319.82,1,12319.82,0,E*TRADE,,
"May 25, 2021",Sell,KO,225.97,54.52,12319.82,0.1,E*TRADE,,
"May 27, 2021",Buy,ES-SET50,18.7409482,32.2841,605.03,0,SET,,
"May 27, 2021",Buy,ES-Tresury,101.9387214,11.8824,1211.28,0,SET,,
"May 27, 2021",Buy,ES-JUMBO25,9.9603562,30.3722,302.52,0,SET,,
"May 27, 2021",Buy,ES-Fixed_Income,70.5910398,12.8693,908.46,0,SET,,
"Jun 1, 2021",Buy,DPZ,60,424.4829,25468.97,0,E*TRADE,,
"Jun 1, 2021",Buy,VZ,450,56.4752,25413.84,0,E*TRADE,,
"Jun 1, 2021",Sell,$CASH,25468.97,1,25468.97,0,E*TRADE,,
"Jun 1, 2021",Sell,$CASH,25413.84,1,25413.84,0,E*TRADE,,
"Jun 4, 2021",Buy,$CASH,211.16,1,211.16,0,E*TRADE,,
"Jun 4, 2021",Buy,$CASH,114.31,1,114.31,0,E*TRADE,,
"Jun 4, 2021",Dividend,BLV,,,211.16,,E*TRADE,,
"Jun 4, 2021",Dividend,BND,,,114.31,,E*TRADE,,
"Jun 14, 2021",Dividend,UOBBC,,,4973.08,0,SET,,
"Jun 28, 2021",Buy,ES-SET50,18.8817142,32.0434,605.03,0,SET,,
"Jun 28, 2021",Buy,ES-Tresury,101.936642,11.8827,1211.28,0,SET,,
"Jun 28, 2021",Buy,ES-JUMBO25,10.045872,30.1136,302.52,0,SET,,
"Jun 28, 2021",Buy,ES-Fixed_Income,70.4146342,12.9016,908.46,0,SET,,
"Jun 30, 2021",Buy,DPZ,0.1,466.8531,48.09,0,E*TRADE,,
"Jun 30, 2021",Dividend,DPZ,0.1,466.8531,47.95,0,E*TRADE,,
"Jul 1, 2021",Buy,DPZ,54,465.378,25130.41,0,E*TRADE,,
"Jul 1, 2021",Buy,VZ,450,56.175,25278.75,0,E*TRADE,,
"Jul 1, 2021",Sell,$CASH,25130.41,1,25130.41,0,E*TRADE,,
"Jul 1, 2021",Sell,$CASH,25278.75,1,25278.75,0,E*TRADE,,
"Jul 7, 2021",Buy,$CASH,19.22,1,19.22,0,E*TRADE,,
"Jul 7, 2021",Buy,$CASH,204.67,1,204.67,0,E*TRADE,,
"Jul 7, 2021",Buy,$CASH,112.28,1,112.28,0,E*TRADE,,
"Jul 7, 2021",Dividend,BLV,,,204.67,,E*TRADE,,
"Jul 7, 2021",Dividend,BND,,,112.28,,E*TRADE,,
"Jul 7, 2021",Dividend,$CASH,19.22,1,19.22,0,E*TRADE,,
"Jul 8, 2021",Buy,QSR,6.35,63.439,402.52,0,E*TRADE,,
"Jul 8, 2021",Dividend,QSR,6.35,63.439,402.49,0,E*TRADE,,
"Jul 27, 2021",Buy,ES-SET50,19.5520538,30.9448,605.03,0,SET,,
"Jul 27, 2021",Buy,ES-Tresury,101.9272392,11.8838,1211.28,0,SET,,
"Jul 27, 2021",Buy,ES-JUMBO25,10.5426966,28.6945,302.52,0,SET,,
"Jul 27, 2021",Buy,ES-Fixed_Income,70.324718,12.9181,908.46,0,SET,,
"Aug 2, 2021",Buy,QSR,82,66.52,5454.64,0,E*TRADE,,
"Aug 2, 2021",Buy,QSR,400,66.51,26604,0,E*TRADE,,
"Aug 2, 2021",Buy,VZ,8.56,56.1074,480.05,0,E*TRADE,,
"Aug 2, 2021",Buy,$CASH,2.45,1,2.45,0,E*TRADE,,
"Aug 2, 2021",Dividend,VZ,8.56,56.1074,480.04,0,E*TRADE,,
"Aug 2, 2021",Dividend,$CASH,2.45,1,2.45,0,E*TRADE,,
"Aug 2, 2021",Sell,$CASH,5454.64,1,5454.64,0,E*TRADE,,
"Aug 2, 2021",Sell,$CASH,26604,1,26604,0,E*TRADE,,
"Aug 5, 2021",Buy,$CASH,211.68,1,211.68,0,E*TRADE,,
"Aug 5, 2021",Buy,$CASH,115.68,1,115.68,0,E*TRADE,,
"Aug 5, 2021",Dividend,BLV,,,211.68,,E*TRADE,,
"Aug 5, 2021",Dividend,BND,,,115.68,,E*TRADE,,
"Aug 12, 2021",Buy,$CASH,80.04,1,80.04,0,E*TRADE,,
"Aug 12, 2021",Dividend,AAPL,,,80.04,,E*TRADE,,
"Aug 26, 2021",Buy,$CASH,2.2,1,2.2,0,E*TRADE,,
"Aug 26, 2021",Dividend,$CASH,2.2,1,2.2,0,E*TRADE,,
"Aug 27, 2021",Buy,ES-SET50,18.3918198,32.897,605.04,0,SET,,
"Aug 27, 2021",Buy,ES-Tresury,101.9126072,11.8855,1211.28,0,SET,,
"Aug 27, 2021",Buy,ES-JUMBO25,9.8061194,30.8499,302.52,0,SET,,
"Aug 27, 2021",Buy,ES-Fixed_Income,70.3117038,12.9205,908.46,0,SET,,
"Sep 7, 2021",Buy,$CASH,211.3,1,211.3,0,E*TRADE,,
"Sep 7, 2021",Buy,$CASH,114.78,1,114.78,0,E*TRADE,,
"Sep 7, 2021",Dividend,BLV,,,211.3,,E*TRADE,,
"Sep 7, 2021",Dividend,BND,,,114.78,,E*TRADE,,
"Sep 9, 2021",Buy,$CASH,43247.79,1,43247.79,0,E*TRADE,,
"Sep 9, 2021",Sell,BND,500,86.495,43247.79,0.29,E*TRADE,,
"Sep 14, 2021",Buy,$CASH,53062.94,1,53062.94,0,E*TRADE,,
"Sep 14, 2021",Buy,$CASH,43275.29,1,43275.29,0,E*TRADE,,
"Sep 14, 2021",Sell,BLV,500,106.1252,53062.94,0.34,E*TRADE,,
"Sep 14, 2021",Sell,BND,500,86.55,43275.29,0.29,E*TRADE,,
"Sep 15, 2021",Buy,$CASH,53080.34,1,53080.34,0,E*TRADE,,
"Sep 15, 2021",Sell,BLV,500,106.16,53080.34,0.34,E*TRADE,,
"Sep 27, 2021",Buy,$CASH,2.68,1,2.68,0,E*TRADE,,
"Sep 27, 2021",Dividend,$CASH,2.68,1,2.68,0,E*TRADE,,
"Sep 28, 2021",Buy,ES-SET50,18.3379372,32.9936,605.03,0,SET,,
"Sep 28, 2021",Buy,ES-Tresury,101.8937992,11.8877,1211.28,0,SET,,
"Sep 28, 2021",Buy,ES-JUMBO25,9.8955718,30.571,302.52,0,SET,,
"Sep 28, 2021",Buy,ES-Fixed_Income,70.4036842,12.9036,908.46,0,SET,,
"Sep 28, 2021",Dividend,TCAP:BKK,,,1944,0,SET,,
"Sep 30, 2021",Buy,DPZ,0.19,483.5998,91.4,0,E*TRADE,,
"Sep 30, 2021",Dividend,DPZ,0.19,483.5998,91.16,0,E*TRADE,,
"Oct 7, 2021",Buy,QSR,9.79,60.9498,596.58,0,E*TRADE,,
"Oct 7, 2021",Dividend,QSR,9.79,60.9498,596.6,0,E*TRADE,,
"Oct 15, 2021",Dividend,PTT:BKK,,,4428,0,SET,,
"Oct 26, 2021",Buy,$CASH,3.63,1,3.63,0,E*TRADE,,
"Oct 26, 2021",Dividend,$CASH,3.63,1,3.63,0,E*TRADE,,
"Oct 27, 2021",Buy,ES-SET50,18.2077618,33.2295,605.03,0,SET,,
"Oct 27, 2021",Buy,ES-Tresury,101.8749804,11.8899,1211.28,0,SET,,
"Oct 27, 2021",Buy,ES-JUMBO25,9.8527994,30.7037,302.52,0,SET,,
"Oct 27, 2021",Buy,ES-Fixed_Income,70.431191,12.8985,908.46,0,SET,,
"Nov 1, 2021",Buy,VZ,9.28,53.2461,494.28,0,E*TRADE,,
"Nov 1, 2021",Dividend,VZ,9.28,53.2461,494.26,0,E*TRADE,,
"Nov 2, 2021",Buy,SCBRMS50,5753.87,17.3796,100000,0,SET,,
"Nov 11, 2021",Buy,$CASH,80.04,1,80.04,0,E*TRADE,,
"Nov 11, 2021",Dividend,AAPL,,,80.04,,E*TRADE,,
"Nov 26, 2021",Buy,$CASH,3.75,1,3.75,0,E*TRADE,,
"Nov 26, 2021",Buy,ES-SET50,19.995638,32.7164,654.19,0,SET,,
"Nov 26, 2021",Buy,ES-Tresury,110.1272142,11.8924,1309.68,0,SET,,
"Nov 26, 2021",Buy,ES-JUMBO25,10.9027702,30.0009,327.09,0,SET,,
"Nov 26, 2021",Buy,ES-Fixed_Income,76.0881348,12.9095,982.26,0,SET,,
"Nov 26, 2021",Dividend,$CASH,3.75,1,3.75,0,E*TRADE,,
"Nov 30, 2021",Buy,SCBRMS50,5998.55,16.6707,100000,0,SET,,
"Dec 27, 2021",Buy,$CASH,3.63,1,3.63,0,E*TRADE,,
"Dec 27, 2021",Dividend,$CASH,3.63,1,3.63,0,E*TRADE,,
"Dec 28, 2021",Buy,ES-SET50,18.8516616,33.3981,629.61,0,SET,,
"Dec 28, 2021",Buy,ES-Tresury,105.9651462,11.8952,1260.48,0,SET,,
"Dec 28, 2021",Buy,ES-JUMBO25,10.3586088,30.3907,314.81,0,SET,,
"Dec 28, 2021",Buy,ES-Fixed_Income,73.1306254,12.927,945.36,0,SET,,
"Dec 29, 2021",Buy,SCBRCTECH,11813.07,8.4652,100000,0,SET,,
"Dec 30, 2021",Buy,DPZ,0.16,560.11,91.3,0,E*TRADE,,
"Dec 30, 2021",Buy,SCBCHA-SSF,9388.79,10.651,100000,0,SET,,
"Dec 30, 2021",Dividend,DPZ,0.16,560.11,91.3,0,E*TRADE,,
"Jan 6, 2022",Buy,QSR,10.35,58.0175,600.48,0,E*TRADE,,
"Jan 6, 2022",Dividend,QSR,10.35,58.0175,600.49,0,E*TRADE,,
"Jan 26, 2022",Buy,$CASH,3.76,1,3.76,0,E*TRADE,,
"Jan 26, 2022",Dividend,$CASH,3.76,1,3.76,0,E*TRADE,,
"Jan 27, 2022",Buy,ES-SET50,18.7839084,33.5186,629.61,0,SET,,
"Jan 27, 2022",Buy,ES-Tresury,105.943446,11.8977,1260.48,0,SET,,
"Jan 27, 2022",Buy,ES-JUMBO25,10.3044832,30.5503,314.81,0,SET,,
"Jan 27, 2022",Buy,ES-Fixed_Income,73.2196346,12.9113,945.36,0,SET,,
"Feb 1, 2022",Buy,VZ,9.41,53.0854,499.32,0,E*TRADE,,
"Feb 1, 2022",Dividend,VZ,9.41,53.0854,499.31,0,E*TRADE,,
"Feb 7, 2022",Buy,PTT:BKK,5000,38.5,192500,323.39,SET,,
"Feb 10, 2022",Buy,$CASH,80.04,1,80.04,0,E*TRADE,,
"Feb 10, 2022",Dividend,AAPL,,,80.04,,E*TRADE,,
"Feb 16, 2022",Buy,SCBSFF,28.77,20.8578,600,0,SET,,
"Feb 16, 2022",Buy,SCBSFF,38.47,20.86,802.47,0,SET,,
"Feb 24, 2022",Buy,ES-SET50,18.411673,34.1963,629.61,0,SET,,
"Feb 24, 2022",Buy,ES-Tresury,105.924997,11.8997,1260.48,0,SET,,
"Feb 24, 2022",Buy,ES-JUMBO25,9.9775862,31.5512,314.8,0,SET,,
"Feb 24, 2022",Buy,ES-Fixed_Income,73.1333278,12.9265,945.36,0,SET,,
"Feb 25, 2022",Buy,DPZ,60,418.6073,25116.44,0,E*TRADE,,
"Feb 25, 2022",Sell,$CASH,25116.44,1,25116.44,0,E*TRADE,,
"Feb 28, 2022",Buy,$CASH,3.76,1,3.76,0,E*TRADE,,
"Feb 28, 2022",Dividend,$CASH,3.76,1,3.76,0,E*TRADE,,
"Mar 28, 2022",Buy,$CASH,3.22,1,3.22,0,E*TRADE,,
"Mar 28, 2022",Dividend,$CASH,3.22,1,3.22,0,E*TRADE,,
"Mar 29, 2022",Buy,ES-SET50,18.1131304,34.7599,629.61,0,SET,,
"Mar 29, 2022",Buy,ES-Tresury,105.9033154,11.9022,1260.48,0,SET,,
"Mar 29, 2022",Buy,ES-JUMBO25,9.9224108,31.7267,314.81,0,SET,,
