"Date (MMM DD, YYYY)",Transaction Type,Stock / ETF Symbol,Quantity of Units,Amount per unit,Total Amount,Fees,Investment Account,Split Ratio (new shares per old share),Note
"Sep 27, 2017",Buy,ES-JUMBO25,7.8281346,32.1441,251.63,0,SET,,
"Sep 29, 2017",Dividend,BAC,,,239.7,,E*TRADE,,
"Sep 29, 2017",Sell,AAV:BKK,37000,6.45,238650,400.92,SET,,
"Oct 27, 2017",Buy,ES-Fixed_Income,91.3378444,11.4695,1047.6,0,SET,,
"Oct 27, 2017",Buy,ES-SET50,7.6660644,34.1294,261.64,0,SET,,
"Oct 27, 2017",Buy,ES-Tresury,90.6300402,11.5591,1047.6,0,SET,,
"Oct 27, 2017",Buy,ES-JUMBO25,8.0391192,32.5456,261.64,0,SET,,
"Nov 7, 2017",Buy,UOBBC,2210.29,22.6215,50000,0,SET,,
"Nov 16, 2017",Dividend,AAPL,,,860.55,,E*TRADE,,
"Nov 22, 2017",Buy,UOBBC,2205.11,22.6746,50000,0,SET,,
"Nov 24, 2017",Sell,UOBBC,8428.02,22.4982,189615.18,0,SET,,
"Nov 28, 2017",Buy,ES-Fixed_Income,91.270221,11.478,1047.6,0,SET,,
"Nov 28, 2017",Buy,ES-SET50,7.6665858,34.1271,261.64,0,SET,,
"Nov 28, 2017",Buy,ES-Tresury,90.5608186,11.5679,1047.6,0,SET,,
"Nov 28, 2017",Buy,ES-JUMBO25,7.9706298,32.8253,261.64,0,SET,,
"Nov 29, 2017",Buy,UOBCG,3223.83,58.8167,189615.18,0,SET,,
"Dec 4, 2017",Buy,UOBBC,2231.48,22.4067,50000,0,SET,,
"Dec 7, 2017",Dividend,AAV:BKK,,,1755,,SET,,
"Dec 8, 2017",Dividend,DAL,,,129.62,,E*TRADE,,
"Dec 12, 2017",Deposit,$CASH,5339.9,1,5339.9,0,E*TRADE,,
"Dec 20, 2017",Buy,AAV:BKK,12500,6.15,76875,129.14,SET,,
"Dec 20, 2017",Buy,ES-Fixed_Income,0.0017415,11.484,0.02,0,SET,,
"Dec 20, 2017",Buy,ES-SET50,0.0002834,35.2485,0.01,0,SET,,
"Dec 20, 2017",Buy,ES-Tresury,0.0017279,11.5742,0.02,0,SET,,
"Dec 20, 2017",Buy,ES-JUMBO25,0.0002942,33.9566,0.01,0,SET,,
"Dec 21, 2017",Buy,$CASH,28045.16,1,28045.16,0,E*TRADE,,
"Dec 21, 2017",Sell,DAL,500,56.075,28045.16,7.66,E*TRADE,,
"Dec 28, 2017",Buy,ES-Fixed_Income,91.20438,11.4863,1047.6,0,SET,,
"Dec 28, 2017",Buy,ES-SET50,7.3989006,35.3618,261.64,0,SET,,
"Dec 28, 2017",Buy,ES-Tresury,90.493034,11.5766,1047.6,0,SET,,
"Dec 28, 2017",Buy,ES-JUMBO25,7.6952298,34.0001,261.64,0,SET,,
"Dec 29, 2017",Buy,$CASH,239.7,1,239.7,0,E*TRADE,,
"Dec 29, 2017",Dividend,BAC,,,239.7,,E*TRADE,,
"Jan 3, 2018",Buy,BRK.B,35,197.4444,6903.6,6.95,E*TRADE,,
"Jan 3, 2018",Sell,$CASH,6903.6,1,6903.6,0,E*TRADE,,
"Jan 3, 2018",Withdrawal,$CASH,26525,1,26525,0,E*TRADE,,
"Jan 29, 2018",Buy,ES-Fixed_Income,91.1372336,11.4948,1047.6,0,SET,,
"Jan 29, 2018",Buy,ES-SET50,6.9921126,37.4191,261.64,0,SET,,
"Jan 29, 2018",Buy,ES-Tresury,90.4230688,11.5855,1047.6,0,SET,,
"Jan 29, 2018",Buy,ES-JUMBO25,7.2851614,35.9139,261.64,0,SET,,
"Jan 31, 2018",Buy,ES-Fixed_Income,0.0008699,11.4953,0.01,0,SET,,
"Jan 31, 2018",Buy,ES-Tresury,0.000863,11.5863,0.01,0,SET,,
